Id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,satisfaction
125877,Female,Loyal Customer,53,Business travel,Eco,520,satisfied
83968,Male,Loyal Customer,56,Business travel,Eco,321,neutral or dissatisfied
122719,Female,Loyal Customer,30,Business travel,Business,651,satisfied
3949,Male,disloyal Customer,27,Business travel,Business,764,neutral or dissatisfied
45542,Male,Loyal Customer,27,Business travel,Business,566,satisfied
43742,Female,Loyal Customer,67,Personal Travel,Eco,626,neutral or dissatisfied
122093,Female,Loyal Customer,32,Personal Travel,Eco,130,neutral or dissatisfied
121454,Male,disloyal Customer,36,Business travel,Eco,331,neutral or dissatisfied
738,Male,Loyal Customer,44,Business travel,Business,158,satisfied
75235,Female,Loyal Customer,70,Personal Travel,Eco,1829,neutral or dissatisfied
88653,Female,Loyal Customer,55,Personal Travel,Eco,646,neutral or dissatisfied
26594,Male,Loyal Customer,66,Business travel,Eco,404,satisfied
38339,Female,Loyal Customer,19,Business travel,Business,2738,satisfied
46063,Female,Loyal Customer,53,Personal Travel,Eco Plus,964,neutral or dissatisfied
27957,Male,Loyal Customer,22,Business travel,Business,1660,neutral or dissatisfied
17270,Female,Loyal Customer,69,Personal Travel,Eco,872,neutral or dissatisfied
87976,Female,Loyal Customer,42,Business travel,Business,1898,satisfied
31640,Female,Loyal Customer,41,Business travel,Business,967,satisfied
41461,Female,Loyal Customer,53,Personal Travel,Business,1242,neutral or dissatisfied
15143,Male,Loyal Customer,35,Business travel,Business,1042,neutral or dissatisfied
78136,Female,Loyal Customer,54,Personal Travel,Business,153,neutral or dissatisfied
120433,Male,Loyal Customer,44,Business travel,Business,366,satisfied
41440,Female,disloyal Customer,26,Business travel,Eco Plus,913,neutral or dissatisfied
15963,Female,Loyal Customer,44,Personal Travel,Eco,528,neutral or dissatisfied
64303,Female,disloyal Customer,24,Business travel,Eco,1172,neutral or dissatisfied
3608,Female,Loyal Customer,54,Personal Travel,Eco,999,neutral or dissatisfied
7744,Male,Loyal Customer,42,Business travel,Eco Plus,489,neutral or dissatisfied
21276,Male,disloyal Customer,36,Business travel,Eco,692,neutral or dissatisfied
58576,Female,Loyal Customer,61,Business travel,Business,1585,satisfied
53888,Female,Loyal Customer,50,Personal Travel,Eco,140,neutral or dissatisfied
10980,Male,Loyal Customer,27,Business travel,Business,2729,satisfied
54151,Male,Loyal Customer,55,Business travel,Business,1400,neutral or dissatisfied
115641,Male,disloyal Customer,21,Business travel,Eco,447,neutral or dissatisfied
58584,Female,Loyal Customer,31,Personal Travel,Business,334,neutral or dissatisfied
50472,Female,disloyal Customer,37,Business travel,Eco,158,neutral or dissatisfied
102623,Female,Loyal Customer,50,Business travel,Business,3696,satisfied
31533,Female,Loyal Customer,21,Personal Travel,Eco,846,neutral or dissatisfied
42287,Female,Loyal Customer,53,Business travel,Eco,329,neutral or dissatisfied
70467,Male,Loyal Customer,45,Business travel,Business,2580,satisfied
20461,Female,disloyal Customer,42,Business travel,Eco,84,neutral or dissatisfied
113346,Male,Loyal Customer,59,Business travel,Business,3358,satisfied
115566,Female,Loyal Customer,54,Business travel,Eco,308,neutral or dissatisfied
119896,Female,Loyal Customer,46,Business travel,Business,912,satisfied
88853,Female,Loyal Customer,52,Personal Travel,Eco Plus,406,neutral or dissatisfied
24895,Female,Loyal Customer,38,Personal Travel,Eco,397,neutral or dissatisfied
31122,Male,Loyal Customer,35,Business travel,Business,2409,satisfied
91231,Female,Loyal Customer,41,Personal Travel,Eco,545,neutral or dissatisfied
61426,Female,disloyal Customer,40,Business travel,Business,2419,neutral or dissatisfied
68873,Female,disloyal Customer,36,Business travel,Eco,1061,neutral or dissatisfied
125701,Male,Loyal Customer,67,Personal Travel,Eco,899,neutral or dissatisfied
94999,Female,Loyal Customer,38,Personal Travel,Eco,293,satisfied
56694,Female,Loyal Customer,50,Personal Travel,Eco,1085,neutral or dissatisfied
62010,Male,Loyal Customer,50,Business travel,Business,2475,satisfied
95868,Male,Loyal Customer,54,Business travel,Business,2544,satisfied
123064,Male,Loyal Customer,56,Business travel,Business,2556,satisfied
103418,Male,Loyal Customer,38,Personal Travel,Eco,237,neutral or dissatisfied
73456,Female,Loyal Customer,7,Personal Travel,Eco,1120,neutral or dissatisfied
8851,Female,Loyal Customer,32,Business travel,Business,2668,satisfied
64241,Male,Loyal Customer,45,Business travel,Eco,1660,neutral or dissatisfied
81723,Male,disloyal Customer,25,Business travel,Eco,1310,neutral or dissatisfied
88237,Female,Loyal Customer,45,Business travel,Business,2374,satisfied
50619,Male,Loyal Customer,34,Personal Travel,Eco,209,neutral or dissatisfied
54444,Male,Loyal Customer,20,Personal Travel,Eco Plus,305,neutral or dissatisfied
64765,Female,disloyal Customer,36,Business travel,Eco,247,neutral or dissatisfied
15941,Male,disloyal Customer,36,Business travel,Eco,338,neutral or dissatisfied
14965,Male,Loyal Customer,27,Business travel,Business,3200,satisfied
36897,Male,Loyal Customer,40,Personal Travel,Eco,1368,neutral or dissatisfied
127954,Male,Loyal Customer,31,Business travel,Business,1999,satisfied
27872,Male,Loyal Customer,25,Business travel,Eco Plus,680,satisfied
35854,Male,Loyal Customer,42,Business travel,Business,537,satisfied
14527,Female,Loyal Customer,45,Business travel,Eco,288,satisfied
47021,Male,Loyal Customer,59,Personal Travel,Business,639,neutral or dissatisfied
11224,Male,Loyal Customer,34,Personal Travel,Eco,201,neutral or dissatisfied
3921,Female,Loyal Customer,22,Personal Travel,Eco,213,neutral or dissatisfied
69463,Male,Loyal Customer,21,Personal Travel,Eco,1096,neutral or dissatisfied
47050,Male,Loyal Customer,26,Business travel,Business,1680,neutral or dissatisfied
21970,Male,Loyal Customer,37,Business travel,Business,2401,satisfied
30046,Male,Loyal Customer,38,Business travel,Business,2746,satisfied
1256,Female,Loyal Customer,17,Personal Travel,Eco,89,neutral or dissatisfied
73813,Male,Loyal Customer,15,Personal Travel,Eco Plus,192,neutral or dissatisfied
110928,Female,Loyal Customer,53,Personal Travel,Eco,404,neutral or dissatisfied
102981,Male,disloyal Customer,39,Business travel,Business,546,neutral or dissatisfied
61571,Male,Loyal Customer,40,Business travel,Business,2400,satisfied
3796,Female,disloyal Customer,28,Business travel,Eco Plus,599,neutral or dissatisfied
73906,Female,disloyal Customer,27,Business travel,Business,2342,neutral or dissatisfied
74090,Female,Loyal Customer,41,Business travel,Business,3046,satisfied
76645,Female,Loyal Customer,7,Personal Travel,Eco,516,neutral or dissatisfied
100462,Male,disloyal Customer,48,Business travel,Business,759,neutral or dissatisfied
54164,Male,Loyal Customer,13,Business travel,Eco,1400,neutral or dissatisfied
6147,Female,Loyal Customer,48,Business travel,Business,491,satisfied
1262,Female,Loyal Customer,49,Personal Travel,Eco,134,neutral or dissatisfied
20310,Male,disloyal Customer,26,Business travel,Business,900,satisfied
46896,Male,Loyal Customer,22,Business travel,Business,3648,satisfied
7237,Female,Loyal Customer,53,Business travel,Business,3769,neutral or dissatisfied
44293,Female,Loyal Customer,43,Business travel,Eco,563,satisfied
52496,Male,Loyal Customer,56,Business travel,Business,3131,satisfied
68263,Female,Loyal Customer,69,Personal Travel,Eco,631,neutral or dissatisfied
5289,Male,Loyal Customer,59,Personal Travel,Eco,351,satisfied
109359,Female,Loyal Customer,56,Business travel,Business,1189,satisfied
94988,Male,Loyal Customer,11,Personal Travel,Eco,562,satisfied
53605,Female,Loyal Customer,25,Business travel,Eco,1874,satisfied
11005,Female,disloyal Customer,29,Business travel,Eco,158,satisfied
14794,Female,Loyal Customer,48,Business travel,Eco,95,satisfied
49480,Female,Loyal Customer,42,Business travel,Business,266,satisfied
120440,Male,disloyal Customer,15,Business travel,Eco,449,neutral or dissatisfied
55823,Female,disloyal Customer,49,Business travel,Business,1416,neutral or dissatisfied
107792,Male,Loyal Customer,41,Business travel,Business,2388,satisfied
80531,Male,Loyal Customer,43,Business travel,Business,1678,satisfied
128145,Male,Loyal Customer,60,Business travel,Business,1972,satisfied
63370,Female,Loyal Customer,42,Personal Travel,Eco,337,satisfied
12452,Female,Loyal Customer,8,Personal Travel,Eco,253,neutral or dissatisfied
16145,Female,Loyal Customer,42,Business travel,Eco,212,satisfied
44418,Male,disloyal Customer,18,Business travel,Eco Plus,342,neutral or dissatisfied
95746,Male,Loyal Customer,47,Business travel,Business,3556,satisfied
41134,Female,disloyal Customer,27,Business travel,Eco,191,neutral or dissatisfied
3214,Female,Loyal Customer,67,Personal Travel,Eco Plus,693,neutral or dissatisfied
74101,Male,disloyal Customer,38,Business travel,Business,641,satisfied
106220,Female,disloyal Customer,20,Business travel,Eco,471,neutral or dissatisfied
88134,Female,Loyal Customer,60,Business travel,Business,3823,satisfied
64475,Male,disloyal Customer,23,Business travel,Business,282,satisfied
123812,Male,disloyal Customer,25,Business travel,Business,544,neutral or dissatisfied
88893,Female,Loyal Customer,38,Business travel,Business,2955,satisfied
31244,Female,Loyal Customer,40,Business travel,Business,2806,satisfied
97762,Male,Loyal Customer,19,Personal Travel,Eco,587,neutral or dissatisfied
59851,Female,Loyal Customer,61,Business travel,Business,2073,satisfied
25137,Male,Loyal Customer,44,Personal Travel,Eco,1249,neutral or dissatisfied
18412,Female,Loyal Customer,22,Personal Travel,Eco,284,neutral or dissatisfied
87192,Female,disloyal Customer,8,Business travel,Eco,946,neutral or dissatisfied
127062,Female,Loyal Customer,45,Business travel,Business,3947,neutral or dissatisfied
112169,Male,Loyal Customer,46,Personal Travel,Eco,895,satisfied
127798,Female,Loyal Customer,54,Business travel,Business,1634,neutral or dissatisfied
91778,Male,Loyal Customer,62,Personal Travel,Eco,588,neutral or dissatisfied
42609,Female,Loyal Customer,25,Business travel,Business,2533,satisfied
67482,Female,Loyal Customer,32,Personal Travel,Eco,641,neutral or dissatisfied
91108,Female,Loyal Customer,65,Personal Travel,Eco,581,neutral or dissatisfied
102318,Male,disloyal Customer,40,Business travel,Business,223,neutral or dissatisfied
51281,Female,Loyal Customer,30,Business travel,Eco Plus,326,satisfied
6528,Female,Loyal Customer,67,Personal Travel,Eco,599,neutral or dissatisfied
121232,Male,Loyal Customer,51,Business travel,Business,2075,satisfied
72478,Female,Loyal Customer,47,Business travel,Business,964,satisfied
122788,Female,Loyal Customer,38,Business travel,Eco,599,neutral or dissatisfied
5528,Male,Loyal Customer,54,Business travel,Business,3138,satisfied
107726,Female,Loyal Customer,57,Personal Travel,Eco,251,neutral or dissatisfied
72606,Male,Loyal Customer,13,Personal Travel,Eco,1119,neutral or dissatisfied
75522,Female,disloyal Customer,20,Business travel,Eco,337,satisfied
125687,Female,Loyal Customer,45,Business travel,Business,759,neutral or dissatisfied
79908,Female,Loyal Customer,51,Business travel,Business,2344,satisfied
117345,Male,disloyal Customer,25,Business travel,Business,296,satisfied
73465,Female,Loyal Customer,39,Personal Travel,Eco,1005,neutral or dissatisfied
95851,Female,Loyal Customer,46,Business travel,Business,580,satisfied
44992,Male,Loyal Customer,53,Business travel,Eco,359,neutral or dissatisfied
70631,Female,Loyal Customer,61,Personal Travel,Eco,1217,satisfied
13761,Female,Loyal Customer,61,Business travel,Eco Plus,384,satisfied
74968,Male,Loyal Customer,16,Personal Travel,Eco,2586,neutral or dissatisfied
12371,Female,Loyal Customer,44,Business travel,Business,2903,neutral or dissatisfied
8378,Female,Loyal Customer,17,Business travel,Business,3170,satisfied
82080,Female,Loyal Customer,50,Business travel,Eco,1276,neutral or dissatisfied
107972,Female,disloyal Customer,40,Business travel,Business,825,satisfied
101228,Male,Loyal Customer,47,Business travel,Business,2204,satisfied
85577,Female,Loyal Customer,80,Business travel,Business,3464,satisfied
2717,Female,Loyal Customer,38,Personal Travel,Eco,562,satisfied
88529,Male,Loyal Customer,31,Personal Travel,Eco,404,satisfied
91613,Male,Loyal Customer,59,Business travel,Business,1199,neutral or dissatisfied
88865,Female,Loyal Customer,22,Business travel,Business,1968,neutral or dissatisfied
96960,Female,Loyal Customer,53,Business travel,Business,2560,satisfied
51191,Female,Loyal Customer,56,Business travel,Eco Plus,308,satisfied
9461,Female,Loyal Customer,48,Personal Travel,Eco,362,neutral or dissatisfied
66384,Male,disloyal Customer,38,Business travel,Business,1562,neutral or dissatisfied
41934,Male,Loyal Customer,64,Personal Travel,Eco,129,neutral or dissatisfied
25381,Male,Loyal Customer,67,Personal Travel,Eco,591,neutral or dissatisfied
14757,Female,Loyal Customer,62,Business travel,Business,3692,satisfied
94013,Male,Loyal Customer,57,Business travel,Business,1859,satisfied
80107,Female,disloyal Customer,27,Business travel,Eco,986,neutral or dissatisfied
23590,Female,disloyal Customer,25,Business travel,Eco,1024,neutral or dissatisfied
110384,Female,Loyal Customer,52,Business travel,Eco,919,neutral or dissatisfied
15069,Female,Loyal Customer,45,Business travel,Eco Plus,576,satisfied
17128,Female,disloyal Customer,23,Business travel,Eco,423,neutral or dissatisfied
54060,Male,Loyal Customer,55,Business travel,Eco,1416,satisfied
129240,Male,Loyal Customer,53,Business travel,Business,1464,neutral or dissatisfied
97165,Female,Loyal Customer,9,Personal Travel,Eco,715,satisfied
111696,Male,Loyal Customer,33,Business travel,Business,541,satisfied
1887,Male,disloyal Customer,64,Business travel,Business,293,neutral or dissatisfied
89086,Female,disloyal Customer,8,Business travel,Eco,2092,neutral or dissatisfied
35485,Male,Loyal Customer,34,Personal Travel,Eco,1053,neutral or dissatisfied
35719,Male,Loyal Customer,59,Personal Travel,Eco,2521,neutral or dissatisfied
85669,Female,Loyal Customer,13,Business travel,Business,2544,neutral or dissatisfied
1137,Male,Loyal Customer,44,Personal Travel,Eco,158,neutral or dissatisfied
8358,Male,Loyal Customer,54,Business travel,Business,1741,satisfied
17217,Male,Loyal Customer,36,Business travel,Business,2651,satisfied
44847,Female,Loyal Customer,11,Personal Travel,Eco,760,neutral or dissatisfied
96673,Female,Loyal Customer,32,Personal Travel,Eco,1036,neutral or dissatisfied
80152,Male,Loyal Customer,42,Business travel,Eco,2586,neutral or dissatisfied
82277,Female,disloyal Customer,27,Business travel,Eco,1081,neutral or dissatisfied
123927,Male,Loyal Customer,33,Personal Travel,Eco,646,neutral or dissatisfied
115766,Female,Loyal Customer,28,Business travel,Business,308,neutral or dissatisfied
21134,Male,Loyal Customer,44,Personal Travel,Eco,227,satisfied
112062,Male,disloyal Customer,49,Business travel,Eco,1754,neutral or dissatisfied
28643,Male,Loyal Customer,59,Business travel,Business,2176,satisfied
108010,Male,disloyal Customer,20,Business travel,Business,271,satisfied
92145,Female,Loyal Customer,46,Business travel,Business,1522,satisfied
115846,Male,Loyal Customer,36,Business travel,Eco,325,satisfied
99685,Female,Loyal Customer,62,Business travel,Business,3217,satisfied
112072,Male,Loyal Customer,59,Business travel,Business,1491,satisfied
119226,Female,Loyal Customer,29,Personal Travel,Eco,331,neutral or dissatisfied
115925,Female,disloyal Customer,41,Business travel,Business,371,neutral or dissatisfied
106552,Male,Loyal Customer,7,Personal Travel,Eco,727,neutral or dissatisfied
25126,Female,Loyal Customer,65,Personal Travel,Business,1249,neutral or dissatisfied
33426,Male,Loyal Customer,50,Business travel,Business,2614,satisfied
125844,Female,Loyal Customer,20,Business travel,Eco,951,neutral or dissatisfied
70328,Female,Loyal Customer,58,Business travel,Business,2498,satisfied
88847,Female,Loyal Customer,45,Personal Travel,Eco Plus,545,neutral or dissatisfied
108398,Male,Loyal Customer,46,Personal Travel,Eco Plus,1838,neutral or dissatisfied
97316,Female,Loyal Customer,43,Business travel,Business,3724,satisfied
124811,Male,disloyal Customer,26,Business travel,Business,280,neutral or dissatisfied
23012,Male,Loyal Customer,41,Business travel,Eco Plus,641,satisfied
18088,Female,Loyal Customer,50,Personal Travel,Eco,488,neutral or dissatisfied
37982,Male,Loyal Customer,38,Personal Travel,Business,1237,neutral or dissatisfied
31332,Female,disloyal Customer,38,Business travel,Eco,1062,neutral or dissatisfied
97455,Female,Loyal Customer,55,Business travel,Business,2699,satisfied
28901,Female,Loyal Customer,49,Business travel,Business,679,satisfied
107606,Male,disloyal Customer,33,Business travel,Business,423,neutral or dissatisfied
53258,Female,Loyal Customer,57,Business travel,Business,4817,satisfied
14292,Female,Loyal Customer,35,Business travel,Business,3833,satisfied
68232,Female,Loyal Customer,40,Business travel,Business,2559,satisfied
51224,Female,disloyal Customer,37,Business travel,Eco Plus,373,neutral or dissatisfied
121386,Female,Loyal Customer,52,Personal Travel,Eco,2279,neutral or dissatisfied
31668,Male,Loyal Customer,41,Business travel,Eco,862,satisfied
24628,Female,Loyal Customer,14,Personal Travel,Eco,666,neutral or dissatisfied
95876,Female,Loyal Customer,32,Business travel,Business,759,satisfied
62793,Male,Loyal Customer,11,Personal Travel,Eco,2338,neutral or dissatisfied
83516,Male,Loyal Customer,12,Personal Travel,Eco,946,neutral or dissatisfied
13221,Male,Loyal Customer,41,Business travel,Eco,772,satisfied
100404,Female,disloyal Customer,45,Business travel,Business,1011,neutral or dissatisfied
121453,Male,disloyal Customer,21,Business travel,Eco,257,neutral or dissatisfied
21454,Female,Loyal Customer,31,Business travel,Eco,164,neutral or dissatisfied
15937,Male,Loyal Customer,38,Business travel,Eco,166,satisfied
70105,Male,Loyal Customer,40,Business travel,Business,2280,satisfied
47540,Male,Loyal Customer,13,Personal Travel,Eco,590,satisfied
57561,Female,Loyal Customer,44,Business travel,Business,1597,satisfied
124103,Female,Loyal Customer,66,Business travel,Business,2264,neutral or dissatisfied
125736,Female,Loyal Customer,30,Business travel,Eco Plus,814,satisfied
93362,Male,Loyal Customer,44,Personal Travel,Eco,1024,neutral or dissatisfied
95429,Female,Loyal Customer,53,Business travel,Business,3276,satisfied
106943,Female,Loyal Customer,37,Business travel,Business,2567,satisfied
100691,Female,Loyal Customer,39,Personal Travel,Eco,889,neutral or dissatisfied
119948,Male,disloyal Customer,29,Business travel,Business,1009,neutral or dissatisfied
15778,Male,Loyal Customer,38,Business travel,Eco,198,neutral or dissatisfied
68342,Male,Loyal Customer,59,Business travel,Business,1598,satisfied
24665,Male,Loyal Customer,19,Personal Travel,Eco,873,neutral or dissatisfied
81029,Female,Loyal Customer,39,Business travel,Business,1399,satisfied
70371,Male,Loyal Customer,22,Personal Travel,Eco,1145,neutral or dissatisfied
1386,Male,Loyal Customer,50,Personal Travel,Eco Plus,282,satisfied
35225,Male,Loyal Customer,22,Business travel,Eco,1076,satisfied
86204,Male,Loyal Customer,56,Business travel,Business,3927,satisfied
126370,Male,Loyal Customer,39,Personal Travel,Eco,507,neutral or dissatisfied
116184,Male,Loyal Customer,29,Personal Travel,Eco,325,satisfied
89613,Male,Loyal Customer,42,Business travel,Business,3404,satisfied
99020,Male,Loyal Customer,56,Business travel,Business,2387,satisfied
18463,Male,Loyal Customer,27,Business travel,Business,192,satisfied
96637,Female,disloyal Customer,21,Business travel,Eco,972,neutral or dissatisfied
114678,Female,Loyal Customer,42,Business travel,Business,362,satisfied
97639,Female,Loyal Customer,48,Business travel,Business,1587,satisfied
75061,Male,Loyal Customer,53,Business travel,Business,2611,satisfied
51744,Female,Loyal Customer,64,Personal Travel,Eco,651,neutral or dissatisfied
44413,Female,Loyal Customer,49,Personal Travel,Eco,342,neutral or dissatisfied
2389,Female,Loyal Customer,49,Business travel,Business,1625,satisfied
105062,Male,Loyal Customer,23,Personal Travel,Eco Plus,361,neutral or dissatisfied
91464,Male,Loyal Customer,50,Business travel,Business,3511,neutral or dissatisfied
55721,Male,Loyal Customer,51,Personal Travel,Eco Plus,927,neutral or dissatisfied
65726,Male,Loyal Customer,34,Business travel,Business,3666,satisfied
8473,Female,Loyal Customer,49,Business travel,Business,1187,satisfied
13488,Female,Loyal Customer,56,Business travel,Eco,106,satisfied
58611,Male,Loyal Customer,46,Business travel,Business,235,satisfied
39607,Male,Loyal Customer,25,Personal Travel,Eco,965,neutral or dissatisfied
41704,Female,Loyal Customer,68,Personal Travel,Eco Plus,936,neutral or dissatisfied
126579,Female,Loyal Customer,10,Personal Travel,Eco,1558,neutral or dissatisfied
44232,Female,Loyal Customer,44,Business travel,Eco,222,satisfied
44021,Male,Loyal Customer,61,Personal Travel,Business,680,neutral or dissatisfied
67502,Female,Loyal Customer,18,Personal Travel,Eco Plus,641,neutral or dissatisfied
19525,Female,Loyal Customer,58,Business travel,Business,3065,satisfied
110015,Female,Loyal Customer,58,Business travel,Business,3736,neutral or dissatisfied
30960,Male,Loyal Customer,64,Personal Travel,Eco,1024,neutral or dissatisfied
2153,Male,Loyal Customer,66,Personal Travel,Business,685,neutral or dissatisfied
115097,Female,disloyal Customer,21,Business travel,Business,296,satisfied
63204,Male,Loyal Customer,39,Business travel,Business,337,satisfied
113849,Male,Loyal Customer,50,Business travel,Business,1363,satisfied
95508,Female,Loyal Customer,43,Business travel,Eco Plus,189,neutral or dissatisfied
112350,Male,Loyal Customer,41,Business travel,Business,1620,satisfied
20650,Male,Loyal Customer,46,Business travel,Eco,552,satisfied
65517,Male,Loyal Customer,41,Business travel,Business,1616,satisfied
116988,Female,Loyal Customer,31,Business travel,Eco,646,neutral or dissatisfied
116210,Female,Loyal Customer,53,Personal Travel,Eco,404,neutral or dissatisfied
15218,Female,Loyal Customer,39,Business travel,Business,3601,satisfied
35387,Female,Loyal Customer,53,Business travel,Business,635,satisfied
20002,Male,Loyal Customer,25,Business travel,Eco,646,satisfied
102927,Female,disloyal Customer,20,Business travel,Eco,317,neutral or dissatisfied
92462,Male,disloyal Customer,46,Business travel,Eco,1892,neutral or dissatisfied
70950,Male,Loyal Customer,10,Personal Travel,Eco,612,neutral or dissatisfied
76034,Female,Loyal Customer,47,Business travel,Business,2609,satisfied
97177,Male,Loyal Customer,32,Personal Travel,Eco,1357,neutral or dissatisfied
51719,Female,Loyal Customer,14,Personal Travel,Eco,237,neutral or dissatisfied
129201,Female,Loyal Customer,16,Business travel,Business,2442,satisfied
35558,Female,Loyal Customer,53,Personal Travel,Eco,950,neutral or dissatisfied
109398,Male,Loyal Customer,55,Business travel,Business,2896,satisfied
65351,Female,Loyal Customer,28,Business travel,Business,1537,satisfied
102482,Female,Loyal Customer,49,Personal Travel,Eco,197,neutral or dissatisfied
17932,Male,Loyal Customer,54,Personal Travel,Eco Plus,789,neutral or dissatisfied
122276,Female,Loyal Customer,70,Personal Travel,Eco,541,neutral or dissatisfied
57484,Female,disloyal Customer,25,Business travel,Eco,782,neutral or dissatisfied
121069,Female,Loyal Customer,48,Business travel,Business,951,satisfied
41414,Male,Loyal Customer,7,Personal Travel,Eco,563,neutral or dissatisfied
49839,Male,Loyal Customer,39,Business travel,Eco,109,neutral or dissatisfied
48189,Male,Loyal Customer,79,Business travel,Eco,414,neutral or dissatisfied
82445,Female,disloyal Customer,28,Business travel,Business,502,neutral or dissatisfied
108108,Male,Loyal Customer,41,Business travel,Business,990,satisfied
63984,Female,disloyal Customer,27,Business travel,Eco Plus,1192,neutral or dissatisfied
105287,Female,Loyal Customer,59,Business travel,Business,2869,satisfied
9385,Female,Loyal Customer,21,Personal Travel,Eco,401,neutral or dissatisfied
25265,Male,Loyal Customer,48,Business travel,Eco,425,satisfied
119844,Male,Loyal Customer,53,Business travel,Eco,1095,neutral or dissatisfied
33840,Female,Loyal Customer,42,Business travel,Business,1609,neutral or dissatisfied
81815,Female,disloyal Customer,48,Business travel,Eco,1310,neutral or dissatisfied
83524,Male,Loyal Customer,59,Personal Travel,Eco,946,satisfied
78999,Female,Loyal Customer,53,Business travel,Business,3804,satisfied
46712,Male,Loyal Customer,24,Personal Travel,Eco,125,neutral or dissatisfied
41188,Male,Loyal Customer,56,Personal Travel,Eco,429,neutral or dissatisfied
5326,Female,Loyal Customer,42,Business travel,Business,3004,satisfied
80176,Female,disloyal Customer,24,Business travel,Eco,1455,neutral or dissatisfied
46900,Male,Loyal Customer,28,Business travel,Business,833,satisfied
89219,Female,Loyal Customer,17,Personal Travel,Eco,1892,neutral or dissatisfied
17928,Male,Loyal Customer,31,Business travel,Eco Plus,789,neutral or dissatisfied
55425,Male,Loyal Customer,60,Business travel,Business,2254,satisfied
88130,Male,disloyal Customer,39,Business travel,Business,444,satisfied
48354,Female,Loyal Customer,47,Business travel,Eco,522,satisfied
