Date,Open,High,Low,Close,Volume
2/29/2012,308.14,311.63,306.6,616.56,"6,297,200"
3/1/2012,309.97,311.68,307.92,620.7,"4,492,000"
3/2/2012,309.84,310.83,309,619.55,"3,158,300"
3/5/2012,309.06,310.08,304.55,612.57,"3,198,400"
3/6/2012,302.89,303.27,295.81,603.3,"6,372,500"
3/7/2012,303.39,304.45,301.8,605.14,"2,538,400"
3/8/2012,303.88,304.61,302.04,605.48,"2,700,900"
3/9/2012,302.84,304.81,298.88,598.61,"5,361,100"
3/12/2012,298.88,302.37,298.51,603.49,"3,350,400"
3/13/2012,303.24,307.77,301.64,616.09,"4,508,300"
3/14/2012,306.35,310.23,305.58,614.3,"5,895,700"
3/15/2012,307.15,310.59,306.27,619.43,"4,888,300"
3/16/2012,309.29,311.79,308.87,623.33,"6,123,800"
3/19/2012,310.4,317.45,309.46,632.24,"4,361,800"
3/20/2012,314.28,316.84,312.46,631.76,"3,092,400"
3/21/2012,316.12,322.49,315.07,638.23,"4,957,600"
3/22/2012,318.06,323.19,314.32,644.28,"4,838,400"
3/23/2012,322.09,323.04,319.25,640.83,"3,894,800"
3/26/2012,321.3,323.53,318.58,647.55,"3,651,900"
3/27/2012,322.31,325.53,321.2,645.25,"4,029,400"
3/28/2012,324.8,328.07,324.32,653.96,"5,096,700"
3/29/2012,325.5,327.07,320.95,646.63,"3,862,900"
3/30/2012,324.66,325.52,319.3,639.48,"4,638,700"
4/2/2012,319.19,322.54,316.23,645.15,"4,585,400"
4/3/2012,321.5,322.77,318.13,640.86,"4,105,000"
4/4/2012,318.03,318.31,314.37,633.41,"3,267,300"
4/5/2012,314.94,317.03,313.11,630.59,"4,654,700"
4/9/2012,313.07,316.48,311.48,629.11,"4,381,600"
4/10/2012,315.58,316.07,311.11,625.14,"4,982,500"
4/11/2012,315.8,316.81,314.47,634.22,"4,414,300"
4/12/2012,319.98,325.35,318.93,649.23,"11,556,300"
4/13/2012,322.57,323.28,310.61,622.89,"16,379,700"
4/16/2012,310.34,310.74,299.71,604.41,"11,426,700"
4/17/2012,303.14,307.69,302.37,607.9,"6,070,400"
4/18/2012,302.89,305.26,300.28,605.79,"5,358,900"
4/19/2012,301.71,306.98,298.38,597.66,"6,613,800"
4/20/2012,301,303.29,296.8,594.43,"6,139,700"
4/23/2012,295.34,298.11,294,595.96,"4,411,900"
4/24/2012,298,302.18,297.54,599.62,"3,872,600"
4/25/2012,300.87,304.53,300.31,608.05,"3,655,800"
4/26/2012,304.31,307.85,303.71,613.78,"4,200,600"
4/27/2012,306.36,307.22,304.16,613.3,"3,284,900"
4/30/2012,305.35,306.89,299.18,603.19,"4,832,600"
5/1/2012,300.77,304.66,298.97,602.78,"4,019,600"
5/2/2012,299.48,302.92,299.18,605.6,"3,235,000"
5/3/2012,303.67,306.27,303.34,609.35,"3,749,900"
5/4/2012,301.83,302.81,297.29,595.34,"4,431,300"
5/7/2012,296.39,304.14,296.39,605.89,"4,003,800"
5/8/2012,301.63,307.3,299.23,611.11,"5,374,600"
5/9/2012,302.28,307.04,299.78,607.48,"4,675,000"
5/10/2012,305.34,306.94,303.98,611.98,"3,083,200"
5/11/2012,304.04,306.13,301.26,603.57,"4,214,400"
5/14/2012,299.27,303.11,299.17,602.35,"3,662,400"
5/15/2012,301.54,306.35,300.75,609.44,"4,219,900"
5/16/2012,307.83,313.87,306.82,627.21,"9,706,300"
5/17/2012,315.73,317.73,309.46,621.34,"6,732,700"
5/18/2012,311.38,315.03,297.24,598.76,"11,991,700"
5/21/2012,299.13,306.7,298.88,612.43,"6,173,800"
5/22/2012,305.57,305.76,296.89,599.16,"6,126,600"
5/23/2012,299.7,303.66,297.45,607.79,"6,379,900"
5/24/2012,303.44,304.82,298.32,602.01,"3,796,600"
5/25/2012,299.38,299.74,293.04,589.91,"7,190,500"
5/29/2012,296.79,298.45,293.06,592.71,"5,230,900"
5/30/2012,292.98,294.84,290.68,586.62,"3,827,600"
5/31/2012,293.26,293.9,288.42,579.27,"5,958,800"
6/1/2012,284.83,285.26,283.11,569.42,"6,138,700"
6/4/2012,284.05,289.16,283.94,577.01,"4,883,500"
6/5/2012,286.65,287.99,282.18,568.85,"4,697,200"
6/6/2012,287.16,289.9,285.73,578.98,"4,207,200"
6/7/2012,292.7,292.85,287.55,576.65,"3,530,100"
6/8/2012,286.85,289.42,286.22,578.86,"2,831,300"
6/11/2012,291.01,291.57,282.29,566.94,"5,342,100"
6/12/2012,283.82,284.09,278.25,563.55,"6,472,500"
6/13/2012,279.81,282.44,278.3,559.55,"3,923,000"
6/14/2012,279.6,281.48,277.22,557.52,"4,707,200"
6/15/2012,279.12,281.21,277.5,562.96,"6,024,800"
6/18/2012,280.26,286.03,278.58,569.29,"5,012,400"
6/19/2012,285.72,291.05,285.49,579.94,"4,167,900"
6/20/2012,288.82,288.92,285.68,575.93,"4,710,800"
6/21/2012,288.84,288.84,280.81,563.66,"4,037,600"
6/22/2012,282.94,284.67,281.85,569.92,"4,472,400"
6/25/2012,282.61,282.98,277.63,559.16,"3,174,900"
6/26/2012,280.33,282.24,278.7,563.13,"2,710,500"
6/27/2012,282.79,285.92,281.95,567.74,"3,397,200"
6/28/2012,281.89,282.06,277.56,562.76,"3,856,100"
6/29/2012,286.41,288.98,285.03,578.48,"5,057,800"
7/2/2012,289.82,290.41,287.17,578.88,"3,323,300"
7/3/2012,288.92,293.11,287.92,586.22,"2,387,800"
7/5/2012,293.28,298.91,293.17,594.29,"4,709,200"
7/6/2012,295.12,295.65,290.32,584.38,"4,339,700"
7/9/2012,291.38,293.2,289.54,584.41,"3,443,000"
7/10/2012,293.99,295.11,288.29,580.11,"3,860,500"
7/11/2012,287.07,287.85,281.42,569.63,"7,024,700"
7/12/2012,282.5,284.9,280,568.92,"4,636,800"
7/13/2012,285.01,288.49,283.21,574.94,"3,966,700"
7/16/2012,287.11,288.51,284.82,573.35,"2,936,100"
7/17/2012,288.14,289.25,283.14,575.15,"3,372,700"
7/18/2012,287.41,290.76,286.99,579.17,"3,107,900"
7/19/2012,291.98,298.12,291.91,591.44,"9,384,300"
7/20/2012,303.24,305.33,297.97,609.15,"12,975,800"
7/23/2012,299.12,308.02,298.01,613.82,"7,150,000"
7/24/2012,306.35,307.81,301.04,605.91,"4,033,800"
7/25/2012,303.02,305.54,301.55,606.33,"3,659,600"
7/26/2012,306.35,307.28,303.88,611.68,"3,382,900"
7/27/2012,308.29,316.31,307.6,633.22,"7,125,900"
7/30/2012,316.84,320.1,313.57,630.57,"4,389,700"
7/31/2012,312.96,317.06,312.94,631.24,"3,745,100"
8/1/2012,317.46,318.56,314.51,630.95,"3,702,900"
8/2/2012,311.59,317.82,310.54,627.03,"3,970,100"
8/3/2012,318.81,320.66,316.88,639.57,"3,808,300"
8/6/2012,318.61,323.48,318.42,641.06,"3,578,000"
8/7/2012,319.7,320.93,317.05,638.79,"3,978,300"
8/8/2012,318.33,321.73,318.06,640.47,"2,654,200"
8/9/2012,321.05,321.98,319.56,640.59,"2,148,500"
8/10/2012,318.1,319.92,316.88,640.24,"2,879,800"
8/13/2012,322.5,328.84,322.13,658.2,"6,560,200"
8/14/2012,328.39,335.17,328.27,666.83,"7,350,800"
8/15/2012,333.89,335.87,330.81,665.71,"4,839,400"
8/16/2012,332.51,336.06,332.29,671.03,"3,448,200"
8/17/2012,335.8,337.36,334.6,675.29,"4,371,600"
8/20/2012,336.49,338.17,335.07,673.69,"3,529,300"
8/21/2012,335.3,337.73,329.85,667.68,"4,461,000"
8/22/2012,332.44,339.03,332.11,675.33,"3,832,600"
8/23/2012,335.88,338.97,334.25,674.95,"3,581,700"
8/24/2012,336.54,338.95,335.78,676.77,"2,863,800"
8/27/2012,330.26,334.75,328.39,667.39,"5,246,900"
8/28/2012,331.26,337.54,331.13,675.4,"4,132,600"
8/29/2012,337.42,343.21,336.81,686.13,"6,002,900"
8/30/2012,340.84,342.41,338.82,679.81,"3,265,900"
8/31/2012,340.72,343,338.75,683.21,"4,270,000"
9/4/2012,341,341.22,335.49,679.18,"3,793,200"
9/5/2012,338.73,341.97,338.3,678.86,"3,429,100"
9/6/2012,341.7,348.64,341.09,697.49,"6,109,700"
9/7/2012,348.69,354.8,347.53,704.22,"6,490,100"
9/10/2012,353.55,355.07,347.89,698.85,"5,139,100"
9/11/2012,347.68,349.02,344.21,690.29,"3,761,500"
9/12/2012,343.42,346.16,339.17,688.99,"5,304,300"
9/13/2012,345.25,353.18,343.98,704.11,"5,337,900"
9/14/2012,353.48,355.17,352.18,707.74,"5,256,500"
9/17/2012,352.73,355.11,351.18,708.04,"3,027,800"
9/18/2012,352.57,357.99,352.07,716.31,"4,149,000"
9/19/2012,357.41,362.92,356.87,725.51,"6,219,700"
9/20/2012,360.88,364.32,359.26,726.13,"5,836,500"
9/21/2012,364.74,366.09,363.7,731.98,"12,765,800"
9/24/2012,364.14,373.62,363.76,747.33,"7,154,200"
9/25/2012,375.12,381.02,372.43,747.11,"12,162,400"
9/26/2012,373.52,379.2,369.12,751.4,"11,388,200"
9/27/2012,378.56,380,374.42,754.43,"7,891,600"
9/28/2012,375.67,378.23,374.17,752.43,"5,587,700"
10/1/2012,378.11,381.07,376.69,759.69,"6,359,700"
10/2/2012,381.17,381.56,373.73,754.92,"5,601,200"
10/3/2012,376.45,380.53,374.7,760.41,"4,433,100"
10/4/2012,379.95,383.51,378.28,765.95,"4,926,700"
10/5/2012,383.92,385.74,381.08,765.55,"5,492,200"
10/8/2012,379.08,380.36,375.67,755.77,"3,931,800"
10/9/2012,378.42,379.24,369.88,742.05,"6,028,900"
10/10/2012,369.54,372.37,367.77,742.52,"4,095,000"
10/11/2012,375.04,377.83,373.74,749.42,"4,785,600"
10/12/2012,374.52,376.03,370.66,742.71,"4,826,400"
10/15/2012,369.58,370.53,363.99,738.95,"6,060,700"
10/16/2012,368.68,372.1,366.85,742.66,"4,131,800"
10/17/2012,370.59,376.76,368.75,753.42,"4,602,900"
10/18/2012,376.36,378.29,336.74,693.1,"24,977,900"
10/19/2012,351.47,352.03,334.75,679.92,"23,050,400"
10/22/2012,339.23,341.04,333.6,676.81,"8,141,500"
10/23/2012,334.75,342.38,334.75,678.49,"5,855,000"
10/24/2012,342.12,342.22,336.37,675.45,"5,011,600"
10/25/2012,338.73,339.73,335.5,675.9,"4,820,100"
10/26/2012,336.99,340.24,334.35,673.3,"3,916,200"
10/31/2012,338.66,339.23,336.24,678.44,"3,085,400"
11/1/2012,338.48,344.16,338.09,685.71,"4,115,500"
11/2/2012,346.1,346.48,342.4,686.04,"4,666,100"
11/5/2012,340.97,342.15,336.52,681.09,"3,283,900"
11/6/2012,341.46,341.97,337.51,679.85,"3,177,300"
11/7/2012,336.24,337.85,332,665.29,"4,481,200"
11/8/2012,333.85,334.49,324.4,650.5,"5,213,300"
11/9/2012,326.1,332.92,323.94,661.21,"6,251,500"
11/12/2012,330.64,333.65,329.2,664.08,"2,822,300"
11/13/2012,330.26,332.55,327.89,657.25,"3,200,200"
11/14/2012,329.1,329.85,324.04,650.76,"3,349,200"
11/15/2012,323.79,328.77,320.75,645.49,"3,711,500"
11/16/2012,321.79,325.29,316.81,645.41,"6,902,000"
11/19/2012,326.63,333.21,326.54,666.38,"4,754,100"
11/20/2012,333.5,337.73,331.04,668.14,"4,192,900"
11/21/2012,333.25,333.65,328.97,664.05,"4,240,200"
11/23/2012,333.73,333.75,331.81,666.14,"1,851,800"
11/26/2012,331.98,332.25,328.28,659.34,"4,425,700"
11/27/2012,328.85,336.24,327.77,668.87,"5,036,100"
11/28/2012,332.76,341.18,330.71,681.8,"6,106,700"
11/29/2012,342.61,345.65,339.73,690,"5,573,700"
11/30/2012,344.36,348.3,341.56,696.46,"6,350,800"
12/3/2012,349.81,351.63,345.76,693.35,"4,401,300"
12/4/2012,346.2,346.46,341.57,689.14,"3,998,200"
12/5/2012,344.78,345.95,339.89,685.94,"3,738,700"
12/6/2012,342.51,346.51,340.98,689.24,"2,935,500"
12/7/2012,346.2,347.14,339.94,682.34,"3,852,900"
12/10/2012,341.42,344.53,340.62,683.54,"2,743,600"
12/11/2012,343.71,349.65,342.58,694.97,"5,395,200"
12/12/2012,348.31,350.44,345.45,695.65,"4,870,100"
12/13/2012,356.62,356.9,348.47,700.78,"6,915,500"
12/14/2012,348.28,352.59,347.91,700.04,"4,276,100"
12/17/2012,351.43,359.61,350.7,718.81,"6,093,400"
12/18/2012,356.96,363.19,356.19,719.1,"6,032,300"
12/19/2012,359.01,360.15,357,718.14,"3,851,500"
12/20/2012,360.28,360.97,357.15,720.38,"3,326,400"
12/21/2012,355.65,358.07,353.93,713.67,"7,078,300"
12/24/2012,355.92,356.25,352.41,707.56,"1,688,000"
12/26/2012,352.71,355.11,349.89,706.93,"2,373,500"
12/27/2012,352.25,353.1,348,704.36,"3,307,000"
12/28/2012,349.53,352.14,348.7,698.09,"2,814,500"
12/31/2012,348.69,353.96,346.7,705.44,"4,009,600"
